Date,GDP,Inflation,Unemployment,Interest_Rate
2022-01,15.2,7.8,105.2,3.8
2022-02,18.0,,108.7,3.9
2022-03,11.5,8.9,112.1,4.0
2022-04,14.2,9.1,,4.1
2022-05,16.8,8.7,118.5,4.2
2022-06,13.9,10.3,125.4,
2022-07,17.3,11.2,128.9,4.4
2022-08,12.1,10.8,132.7,4.3
2022-09,,12.5,135.6,4.4
2022-10,19.4,13.1,138.9,4.5
2022-11,21.2,12.9,142.3,4.4
2022-12,16.7,14.2,145.8,4.5
2023-01,12.0,8.5,110.5,4.5
2023-02,19.5,10.2,115.3,4.5
2023-03,3.0,12.1,120.9,4.7
2023-04,5.0,11.4,112.8,4.9
2023-05,2.0,9.3,130.1,5.1
2023-06,3.0,14.0,140.2,5.2
2023-07,18.1,15.1,150.3,5.4
2023-08,10.4,13.5,145.4,5.5
2023-09,14.7,16.2,160.7,5.6
2023-10,7.8,17.0,155.6,5.8
2023-11,12.0,18.3,170.8,5.9
2023-12,9.9,19.5,180.9,6.0
2024-01,,20.1,185.2,6.1
2024-02,8.5,21.3,190.5,6.2
2024-03,11.2,19.8,,6.3
2024-04,13.7,22.1,195.7,6.4
2024-05,15.0,,198.9,6.5
2024-06,12.8,23.5,202.1,
2024-07,14.3,24.2,205.8,6.7
2024-08,16.1,23.8,210.4,6.8
2024-09,18.5,25.1,,6.9
2024-10,17.2,26.3,215.6,7.0
2023-07,18.1,15.1,150.3,5.4
2024-11,19.8,27.0,220.9,7.1
2024-12,21.3,,225.7,7.2
2024-12,21.3,,225.7,7.2
2025-01,22.7,28.5,230.4,
2025-02,24.1,29.2,,7.4
2025-03,,30.1,235.8,7.5
2025-04,26.9,31.3,240.2,7.6
2022-06,13.9,10.3,125.4,
2025-05,28.4,,245.6,7.7
2025-06,30.2,33.8,250.1,7.8
2025-07,31.5,34.5,,7.9
2025-08,29.8,35.2,255.7,8.0
2023-03,3.0,12.1,120.9,4.7
