Date,GDP,Inflation,Unemployment,Interest_Rate,score
2023-01,12,8.5,110.5,4.5,0
2023-02,19.5,10.2,115.3,4.5,1
2023-03,3,12.1,120.9,4.7,6
2023-04,5,11.4,112.8,4.9,6
2023-05,2,7,130.1,5.1,6
2023-06,2,14,140.2,5.2,7
2023-07,18.1,15.1,150.3,5.4,0
2023-08,10.4,13.5,145.4,5.5,1
2023-09,14.7,7,160.7,5.6,6
2023-10,7.8,17,155.6,5.8,6
2023-11,12,18.3,170.8,5.9,6
2023-12,9.9,19.5,180.9,6,7
2025-05,28.4,8,245.6,9,0
2025-06,30.2,33.8,250.1,7.8,1
2025-07,31.5,34.5,9,7.9,6
2025-08,29.8,35.2,255.7,8,6
2023-03,3,12.1,120.9,4.7,6
